  |  *id*  |  *Experimentid*  |  *description*  |  *Notes*  |  *T_Completeness*  |  *S_Completeness*  |  *Completeness*  |  *T_Correctness*  |  *S_Correctness*  |  *Correctness*  |  *Variation*  |  *Transport*  |  *Supply*  |  *ProjectSupply*  |  *type*  |  *status*  |  *gls*  |  *logging*  |  *finished*  |  *Experiment Started*  |  *Oplan*  |  *GLS*  |  *Final Planning Complete*  |  *Log Started*  |
  |  1  |  JTG-Baseline-FA-Planning-A-1of3 <span class="Folder">JTG-Baseline-FA-Planning-A-1of3_02-11-27_17</span>   |  Planning baseline  |  <span id="Baseline"> <bold>Successful Planning Baseline Number 1</bold></span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  Real_Base  |  100  |  132  |  132  |  132  |  2002-11-27_17:13:50  |  21:58  |  26:28  |  45:26  |  2002-11-27_23:00:00  |  
  |  2  |  JTG-Baseline-FA-Planning-A-2of3 <span class="Folder">JTG-Baseline-FA-Planning-A-2of3_02-11-27_18</span>   |  Planning baseline  |  <span id="Failed"> Successful run but it has phased allocations</span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  Phased_Base  |  100  |  132  |  132  |  132  |  2002-11-27_18:23:08  |  21:43  |  26:18  |  47:10  |  2002-11-28_00:10:59  |  
  |  3  |  JTG-Baseline-FA-Planning-A-3of3 <span class="Folder">JTG-Baseline-FA-Planning-A-3of3_02-11-27_19</span>   |  Planning baseline  |  <span id="Baseline"> <bold>Successful Planning Baseline Number 2</bold> </span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  Real_Base  |  100  |  132  |  132  |  132  |  2002-11-27_19:34:06  |  22:10  |  25:43  |  41:50  |  2002-11-28_01:16:36  |  
  |  4  |  JTG-Baseline-FA-Execution-A-1of3 <span class="Folder">JTG-Baseline-FA-Execution-A-1of3_02-11-27_20</span>   |  Execution baseline  |  <span id="Failed"> Failed run. Did not receive first planning complete </span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  132  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  5  |  JTG-Baseline-FA-Execution-A-2of3 <span class="Folder">JTG-Baseline-FA-Execution-A-2of3_02-11-28_01</span>   |  Execution baseline  |  <span id="Failed"> Failed run. Did not receive planning complete after 3 days advance. </span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  aborted  |  55  |  132  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  6  |  JTG-Baseline-FA-Execution-A-3of3 <span class="Folder">JTG-Baseline-FA-Execution-A-3of3_02-11-28_07</span>   |  Execution baseline  |  <span id="Baseline"> <bold>Successful Execution Baseline Number 1</bold>. <em>Run contains phased allocations</em> </span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  base  |  100  |  132  |  132  |  132  |  2002-11-28_07:00:23  |  21:49  |  26:43  |  114:26  |  2002-11-28_13:57:33  |  
  |  7  |  JTG-Baseline-FA-Execution-A-1of3 <span class="Folder">JTG-Baseline-FA-Execution-A-1of3_02-11-28_11</span>   |  Execution baseline  |  <span id="Baseline"> <bold>Successful Execution Baseline Number 2</bold> <em>Run contains phased allocations</em> </span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  base  |  100  |  132  |  132  |  132  |  2002-11-28_11:50:24  |  22:7  |  27:26  |  112:7  |  2002-11-28_18:45:25  |  
  |  8  |  JTG-Baseline-FA-Execution-A-2of3 <span class="Folder">JTG-Baseline-FA-Execution-A-2of3_02-11-28_14</span>   |  Execution baseline  |  <span id="Failed"> Failed run. Did not receive planning complete after Perturbation 3 </span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  baseexec  |  55  |  132  |  0  |  0  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  0  |  
  |  9  |  JTG-Baseline-FA-Execution-A-3of3 <span class="Folder">JTG-Baseline-FA-Execution-A-3of3_02-11-28_19</span>   |  Execution baseline  |  <span id="Baseline"> <bold>Successful Execution Baseline Number 3</bold>. <em>Run contains phased allocations</em> </span>  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  &nbsp;  |  base  |  100  |  132  |  132  |  132  |  2002-11-28_19:27:52  |  20:40  |  25:42  |  115:24  |  2002-11-29_02:24:12  |  
  |  10  |  JTG-Logistics-FA-UC1-A-1-1of6 <span class="Folder">JTG-Logistics-FA-UC1-A-1-1of6_02-11-28_21</span>   |  Level 6 Only Play - 0 percent CPU stress  |  <span id="Successful"> <bold>Successful Logistics A-1 run 1</bold> <em>Freeze occurs at Baseline (22min)</em></span>  |  &nbsp;  |  &nbsp;  |  99.99026  |  &nbsp;  |  &nbsp;  |  100.00000  |  99.4482848148509  |  2388  |  &nbsp;  |  8679  |  stress  |  100  |  132  |  132  |  132  |  2002-11-28_21:55:10  |  22:25  |  26:36  |  43:30  |  2002-11-29_03:39:20  |  
